"","X","Sp","Limb_length","Limb_width","Observer","Limb_volume"
"1",1,"S. brachyurus",5.73119528591633,2.65661489451304,"Sam L",0.967167915290174
"2",2,"R. typus",98.7250732956454,1.46155156195164,"Cassie C",0.0169938076926706
"3",3,"S. brachyurus",7.58712939918041,1.84403364895843,"David J",0.352006005901203
"4",4,"T. alba",1.41874129883945,1.84378827153705,"Cassie C",1.88195297125746
"5",5,"S. brachyurus",15.6859705224633,1.97038715006784,"David J",0.194393446645447
"6",6,"T. alba",6.44274393329397,2.4071905456949,"Cassie C",0.70638252817605
"7",7,"R. typus",46.9431398669258,2.07380295731127,"Cassie C",0.0719536328092412
"8",8,"R. typus",6.14782192278653,15.3488302603364,"Sam L",30.0967200602374
"9",9,"S. brachyurus",2.80435766559094,4.34294734383002,"David J",5.28233094104039
"10",10,"B. bison",18.0413533933461,14.5061656180769,"David J",9.16064452572379
"11",11,"R. typus",45.7024632487446,30.639523556456,"Cassie C",16.1329686091279
"12",12,"S. brachyurus",16.9515772489831,1.46155961439945,"David J",0.0989721116948486
"13",13,"H. leptonyx",1.43372143618762,11.9131418503821,"Sam L",77.7459417685047
"14",14,"S. brachyurus",3.54268007911742,1.00765641662292,"David J",0.22510383588069
"15",15,"B. bison",73.8047877093777,21.9646951602772,"Cassie C",5.13399813363587
"16",16,"R. typus",25.2516006585211,15.6417114008218,"Cassie C",7.60973452368122
"17",17,"R. typus",40.7865360146388,16.6503515746444,"Sam L",5.33850772151484
"18",18,"T. alba",0.0466203107498586,1.89417557744309,"Sam L",60.4442763968542
"19",19,"B. bison",46.1573866661638,21.535854768008,"Sam L",7.89174233171948
"20",20,"T. alba",1.66797675425187,2.85015831445344,"David J",3.82505650809489
"21",21,"H. leptonyx",35.3131341375411,16.4872498577461,"David J",6.04574821561713
"22",22,"S. brachyurus",6.4895054185763,4.47405665297993,"Cassie C",2.42259736278354
"23",23,"H. leptonyx",35.3254411369562,18.672661120072,"Sam L",7.75201703574084
"24",24,"B. bison",95.1183798024431,24.0256543457508,"Sam L",4.76623977421069
"25",25,"B. bison",85.1483242586255,14.3269455106929,"David J",1.8933067982871
"26",26,"R. typus",5.63115745317191,20.5988372117281,"Sam L",59.1803625594753
"27",27,"B. bison",25.4796954803169,1.68738414533436,"David J",0.0877654484868614
"28",28,"T. alba",6.14403154002503,2.65220162342303,"David J",0.899185961802206
"29",29,"B. bison",46.1892700521275,21.3511442276649,"Cassie C",7.7515953023795
"30",30,"R. typus",38.3762133773416,1.89923160709441,"Cassie C",0.073821628181439
"31",31,"R. typus",42.9569448810071,28.1668684538454,"Cassie C",14.5055308106076
"32",32,"T. alba",2.22648304188624,2.8773539448157,"Sam L",2.92049902539784
"33",33,"B. bison",95.1918958919123,18.1110734981485,"Sam L",2.70631466480563
"34",34,"T. alba",3.48802219610661,2.62071902677417,"Cassie C",1.54650584213319
"35",35,"S. brachyurus",13.8299626996741,1.60609834827483,"David J",0.146491742027461
"36",36,"H. leptonyx",32.9936537332833,2.52586313057691,"Sam L",0.151872484085664
"37",37,"R. typus",70.2354806941003,8.81326589733362,"Cassie C",0.868574486695686
"38",38,"S. brachyurus",10.6379212718457,0.466209481237456,"Sam L",0.0160470539377518
"39",39,"B. bison",31.538056069985,11.2939498876221,"David J",3.17648400792139
"40",40,"R. typus",86.9435967411846,29.475792311132,"David J",7.8484384099336
"41",41,"S. brachyurus",15.5318730184808,1.66689458419569,"Cassie C",0.140501940100244
"42",42,"B. bison",37.2395620215684,10.4920970485546,"Cassie C",2.3217203865948
"43",43,"B. bison",61.4725205814466,24.1795695363544,"David J",7.46974868028191
"44",44,"B. bison",21.6336381854489,24.4984972779639,"Cassie C",21.7890959343447
"45",45,"S. brachyurus",18.4785172017291,4.74440291756764,"David J",0.956722287810694
"46",46,"B. bison",98.8822971936315,22.6189904753119,"Sam L",4.06366379424718
"47",47,"B. bison",26.0182227008045,27.2287305048667,"Cassie C",22.3803586428537
"48",48,"S. brachyurus",11.5984777919948,2.3029004863929,"Sam L",0.359119699605501
"49",49,"H. leptonyx",36.8787016626447,19.8563909064978,"Cassie C",8.3968208310505
"50",50,"R. typus",20.5379637889564,11.465312615037,"Sam L",5.02694691541113
